disease,model,test_study,train_studies,accuracy,auc
parkinsons,RandomForest,ScheperjansF_2014,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.668918918918919,0.7344777209642075
parkinsons,RandomForest,WeisS_2021,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.5833333333333334,0.6018518518518519
parkinsons,RandomForest,HuangB_2023,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.7222222222222222,0.8429783950617284
parkinsons,RandomForest,BoktorJ_2022,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.602510460251046,0.6995964783565664
parkinsons,RandomForest,MaoL_2021,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.6883116883116883,0.7699055330634278
parkinsons,RandomForest,CirsteaM_2023,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.5766666666666667,0.6797841407520576
parkinsons,RandomForest,WallenZ_2020,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.7547619047619047,0.860635689438593
parkinsons,RandomForest,JoS_2022,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.6585365853658537,0.7314780342516753
parkinsons,RandomForest,ChenS_2022,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.6261682242990654,0.6980999296270233
parkinsons,RandomForest,TanA_2021,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.59,0.7141927083333333
parkinsons,RandomForest,ZhangP_2022,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,WallenZ_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.5867768595041323,0.6242399115533442
parkinsons,RandomForest,WallenZ_2022,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,HeintzBuschartA_2017,QianY_2018,PietrucciD_2019",0.6813793103448276,0.7117995717792052
parkinsons,RandomForest,HeintzBuschartA_2017,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,QianY_2018,PietrucciD_2019",0.6630434782608695,0.6554259634888437
parkinsons,RandomForest,QianY_2018,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,PietrucciD_2019",0.5888888888888889,0.648641975308642
parkinsons,RandomForest,PietrucciD_2019,"GuoX_2022,BoertienJ_2022,HillBurnsE_2017,HopfnerF_2017,SampsonT_2016,BedarfJ_2017,AhoV_2019,ArumugamM_2013,ScheperjansF_2014,WeisS_2021,HuangB_2023,BoktorJ_2022,MaoL_2021,CirsteaM_2023,WallenZ_2020,JoS_2022,ChenS_2022,TanA_2021,ZhangP_2022,WallenZ_2022,HeintzBuschartA_2017,QianY_2018",0.6842105263157895,0.7255208333333335
schizophrenia,RandomForest,ShenY_2018,"LiangY_2022,FanY_2022,NguyenT_2021,ZhuF_2020,LingZ_2022,YanF_2022,DonnellM_2022",0.7264957264957265,0.7538325471698113
schizophrenia,RandomForest,LiangY_2022,"ShenY_2018,FanY_2022,NguyenT_2021,ZhuF_2020,LingZ_2022,YanF_2022,DonnellM_2022",0.6842105263157895,0.6815323041738136
schizophrenia,RandomForest,FanY_2022,"ShenY_2018,LiangY_2022,NguyenT_2021,ZhuF_2020,LingZ_2022,YanF_2022,DonnellM_2022",0.9166666666666666,0.988025619604567
schizophrenia,RandomForest,NguyenT_2021,"ShenY_2018,LiangY_2022,FanY_2022,ZhuF_2020,LingZ_2022,YanF_2022,DonnellM_2022",0.6575342465753424,0.7493901294802027
schizophrenia,RandomForest,ZhuF_2020,"ShenY_2018,LiangY_2022,FanY_2022,NguyenT_2021,LingZ_2022,YanF_2022,DonnellM_2022",0.8128654970760234,0.9257201646090535
schizophrenia,RandomForest,LingZ_2022,"ShenY_2018,LiangY_2022,FanY_2022,NguyenT_2021,ZhuF_2020,YanF_2022,DonnellM_2022",0.7142857142857143,0.8437402190923318
schizophrenia,RandomForest,YanF_2022,"ShenY_2018,LiangY_2022,FanY_2022,NguyenT_2021,ZhuF_2020,LingZ_2022,DonnellM_2022",0.78,0.8848
schizophrenia,RandomForest,DonnellM_2022,"ShenY_2018,LiangY_2022,FanY_2022,NguyenT_2021,ZhuF_2020,LingZ_2022,YanF_2022",0.6363636363636364,0.6766528925619834
