disease,model,test_study,train_studies,accuracy,auc
autism,CatBoost,HaS_2021,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.6195652173913043,0.6447368421052632
autism,CatBoost,ZouR_2020,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.46875,0.5190972222222222
autism,CatBoost,KovtunA_2020,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.47435897435897434,0.4015810276679842
autism,CatBoost,DingX_2020,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.7086614173228346,0.7337662337662337
autism,CatBoost,ZhaoR_2019,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.62,0.5283333333333333
autism,CatBoost,CaoX_2021,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.5348837209302325,0.6612466124661247
autism,CatBoost,ChenY_2020,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.3699186991869919,0.5258513931888544
autism,CatBoost,WanY_2021,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.5078125,0.54345703125
autism,CatBoost,LiN_2021,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.49333333333333335,0.6663135593220338
autism,CatBoost,ChenZ_2021,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.5656565656565656,0.6092995169082125
autism,CatBoost,SonJ_2015,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.4563106796116505,0.5358243451463791
autism,CatBoost,TataruC_2023,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.5440115440115441,0.5674014095066726
autism,CatBoost,HeJ_2023,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.3875,0.33187500000000003
autism,CatBoost,WangH_2023,"ZhangM_2020,CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.46987951807228917,0.3896631823461092
